ID_Bantuan,Latitude,Longitude,Jumlah_Penerima,Prioritas
B00001,-4.632817979594837,133.9728825740353,3987,5
B00002,5.162143208968576,117.74778401109104,4736,5
B00003,1.4438970107938864,103.99141808908055,3818,2
B00004,-0.8228057686503778,128.88552218406426,4930,1
B00005,-8.34768311247858,114.2591942414316,3959,4
B00006,-8.348093154284555,122.35286423881487,839,1
B00007,-10.01257859314061,99.93420334800119,2839,5
B00008,3.7249944781738975,124.05286351773564,4191,1
B00009,-0.78104480036545,112.18332249147572,247,3
B00010,1.037233822532773,110.37272848705075,2578,3
B00011,-10.650063596971359,140.07611662377886,1520,4
B00012,5.488467486753905,114.89180956697138,4375,2
B00013,3.151524893607169,126.18976539332377,175,5
B00014,-7.390235118469305,123.8754666363967,3893,4
B00015,-7.908975557479289,99.79796334071725,3193,1
B00016,-7.882123332491625,129.40466670495854,873,2
B00017,-5.827881869687859,109.86532335794452,781,1
B00018,-2.079140662251957,131.75121926304982,3036,2
B00019,-3.6569346830840317,122.9514760003076,3077,5
B00020,-6.049104616633287,109.58620853786051,1444,5
B00021,-0.5985007897195498,111.38947617522926,1577,5
B00022,-8.628604368915289,128.64933900465257,356,1
B00023,-6.033540974901292,120.30272849565256,203,1
B00024,-4.771848664007241,125.7441478708805,4516,1
B00025,-3.246810268310389,102.28264276945866,4295,5
B00026,2.3479913436812314,131.20092692250725,4708,5
B00027,-7.605545703307884,109.7380006700916,4262,5
B00028,-2.258014546968603,123.51361828925297,2821,5
B00029,-0.9289523293452788,100.2752719611324,1599,5
B00030,-10.21034298376004,109.78533109322048,4605,2
B00031,-0.6717375176755471,124.84789548106552,50,4
B00032,-8.101089897316044,107.61348208535154,924,1
B00033,-9.894122919250249,135.4943610504916,72,3
B00034,5.131054133306666,125.41650637439733,4295,3
B00035,5.415744562267509,135.03280609165262,3298,5
B00036,2.7427549179798394,113.18797230355156,1518,1
B00037,-5.821565924052698,96.56331656073505,2773,5
B00038,-9.339574061891474,121.50243831433473,2385,5
B00039,0.6319614507066671,110.60290112536713,3016,4
B00040,-3.5174076064267776,115.61666529242825,772,1
B00041,-8.925350007638759,126.33106984044645,4392,3
B00042,-2.5819925281084064,127.23057468526011,4575,4
B00043,-10.415395141041287,96.2675950838275,3814,4
B00044,4.458446835339295,130.38792295062223,1442,1
B00045,-6.600740312799712,117.70187008797963,869,5
B00046,0.26287883401769285,120.6081435729293,3555,4
B00047,-5.700911706480014,108.70773251873322,4955,5
B00048,-2.158843639977217,114.35835415602672,3235,4
B00049,-1.7059252511642455,127.67725616304926,3183,2
B00050,-7.85747425606604,130.72883493543588,73,2
B00051,5.482938671997495,112.80688433372698,439,5
B00052,2.1772579971389483,126.79140650196119,3204,3
B00053,4.971482006591215,106.87000107766815,2724,1
B00054,4.21206495727003,133.27304259816572,2724,5
B00055,-0.8357003602115523,123.0514549897388,4221,3
B00056,4.671861995392986,130.65857973907717,209,4
B00057,-9.49562746511737,116.94912320662098,714,5
B00058,-7.668291338874532,105.53902710916994,113,5
B00059,-10.231136088520852,114.74463121242762,785,3
B00060,-5.4693843770245065,112.54832814600275,565,2
B00061,-4.392486075278806,110.30496099824732,4275,4
B00062,-6.387066459843769,104.759992396108,1480,2
B00063,3.0885376555827992,129.9216885264711,3205,5
B00064,-4.935193446208983,98.97217642074578,3669,4
B00065,-6.224113335314527,135.82780277474836,749,4
B00066,-1.7741665863097769,103.05113725329666,3558,1
B00067,-8.604288175429035,140.0741879851709,66,5
B00068,2.637348672818675,140.46953021200542,1671,5
B00069,-9.732639057443896,113.32580389709298,3960,5
B00070,5.777077922208793,140.4397693410841,300,5
B00071,2.128161078043176,134.97715179491342,4761,5
B00072,-7.621833413919069,98.79179273954662,1535,2
B00073,-10.90612400889876,138.57711392691644,4127,1
B00074,2.86284428373218,96.95566175161133,3882,1
B00075,1.0165748454094903,103.36805751199893,1951,3
B00076,1.3931218566967836,121.89139487894701,3586,3
B00077,2.111595893661077,98.71391020640063,345,5
B00078,-9.741240920520465,102.43947682151097,4450,1
B00079,-4.9060826147473655,138.86062220716298,873,3
B00080,-9.030225988072795,140.75564270482997,3458,4
B00081,3.6727582398850895,131.71428092189367,3899,3
B00082,-0.40393184393151493,118.69963200737632,4308,1
B00083,-5.374733577504964,136.41384304181707,1467,2
B00084,-9.919508045137597,100.14734346064417,4956,3
B00085,-5.713300530833743,138.3730259852704,4165,2
B00086,-5.4718835255453,111.17143466294988,769,1
B00087,1.4033050317470899,134.62851199672696,1624,2
B00088,-0.16152298696137635,125.74517667532798,2147,2
B00089,4.082616623797552,139.1726179865632,3962,2
B00090,-2.9723462722468614,134.77518559860764,2046,3
B00091,-8.96689781904887,135.84329942334168,4321,5
B00092,1.1251613827909157,124.0607003815214,4562,1
B00093,1.9333458264872565,133.3252924249087,2900,1
B00094,-1.4582876413185648,129.82803293502158,1162,3
B00095,2.106442059227536,102.43466402157881,4373,1
B00096,-2.605474861805357,124.83545700224919,936,4
B00097,-2.1135419005061014,101.81607513992729,4494,1
B00098,-3.731802687904656,134.99498160673437,3286,2
B00099,-10.567874845350381,98.03369076963855,2555,4
B00100,-9.165845741113824,140.40414682889067,2683,5
B00101,-10.465703843325517,113.42882664233473,2413,3
B00102,-0.1810230085157336,102.84895027026604,2019,5
B00103,-5.655948321702446,138.04104924841624,2718,4
B00104,-2.3542982502000527,97.08959536657301,4414,3
B00105,4.428630056743581,116.62485918741324,2244,1
B00106,-6.762032104469126,130.43044788452713,3400,4
B00107,-4.023490308394295,109.57052186985824,3176,2
B00108,1.8443693552318265,119.32639481552886,3643,2
B00109,-7.110431186642418,127.21899875043489,1257,5
B00110,-9.691341532910519,138.79091536606074,1189,5
B00111,-6.074225300465944,99.72432140646738,3026,4
B00112,-8.259238116681924,102.23242837088631,617,5
B00113,4.804860089823743,118.40806117892708,1694,4
B00114,2.738046452595089,114.24984821290215,3701,1
B00115,-0.23213613932280097,113.89662339144866,1205,2
B00116,3.8148300331912015,108.66022913506305,4288,2
B00117,2.6624253072849466,120.79150073141199,3792,4
B00118,-7.828308998937391,135.63126346362293,4915,5
B00119,4.173502974329622,102.40251966474173,1789,1
B00120,-1.831181887433937,104.90317115680486,2258,2
B00121,2.726482637789063,125.85788089878095,1507,5
B00122,4.233552098699384,97.58509209721599,2547,4
B00123,-5.593940925478314,125.9931531798983,4997,4
B00124,-9.129117283029496,109.46498293971352,1065,3
B00125,-7.125102236786992,111.46128084440069,585,5
B00126,-3.739167593353643,113.65527119585342,2239,5
B00127,2.906251020682383,111.08102782861889,3682,3
B00128,3.632419915357838,133.6956425788585,2010,4
B00129,-10.881813780969757,138.51914904041422,2897,5
B00130,-2.3172958561813832,120.20852786454466,236,4
B00131,-3.9040129464707576,121.7664109464072,3761,5
B00132,-7.224167221997586,98.24222296861802,2071,1
B00133,-8.962288755327393,127.80682870460603,553,2
B00134,-5.260542086138325,121.86854815634787,2696,5
B00135,5.029464966512826,97.31814809514961,782,3
B00136,-5.505550155647161,104.12758068529835,2672,3
B00137,-2.180559430362777,104.28939733805788,2808,1
B00138,0.9513223012180241,102.86452578939452,4054,2
B00139,-4.818296759552002,125.29771391264775,3510,4
B00140,5.520295406256331,137.70822230636537,2139,1
B00141,5.361604014015892,130.09686496648453,2334,2
B00142,-6.719700970968809,116.95918031984002,2309,2
B00143,-2.546775399829448,113.58635970728616,2809,3
B00144,-5.885068733114916,112.77707284422424,649,4
B00145,-6.15771159558305,122.65736005400795,1482,2
B00146,-10.372921894972942,111.52415031144866,1375,1
B00147,-0.6374063223417537,105.401610674681,1868,5
B00148,-2.454456605109355,122.73077370247681,145,1
B00149,-10.12486122875018,112.97244901766837,4574,3
B00150,-6.263010107977606,95.64974214061635,2229,1
B00151,4.440520061433112,96.02263122407163,3533,4
B00152,-6.927447858661469,107.61028411310325,2143,5
B00153,-8.536787174449207,118.57142117731573,750,2
B00154,-2.679303075281428,111.29501735272748,4697,4
B00155,5.756057719880211,96.10653700982739,3923,1
B00156,-6.885060384304493,105.26498113264905,2469,3
B00157,0.42630430589993473,99.43528819903234,1995,1
B00158,1.9475334605881987,138.63707206262518,444,2
B00159,-6.960161752129205,109.39036747891222,4294,1
B00160,1.3796779264016124,95.67925309339282,1773,4
B00161,-4.747686743772695,125.38590959134052,1653,5
B00162,-0.2508008799091481,105.69260526335958,3763,4
B00163,-0.22999491706478992,121.06986773142619,3461,1
B00164,-1.8918303707291066,101.93429091203645,4109,2
B00165,-9.465073909075059,140.26460881563338,4636,3
B00166,3.200142425017045,139.63192258200533,3318,5
B00167,-5.546738895480491,125.17523417775408,3771,2
B00168,-7.829185323202478,127.53132060381479,2170,1
B00169,-10.306822593569013,114.59042899941596,1872,4
B00170,-0.9548199657998886,139.26024988923575,4244,1
B00171,0.5185941513188013,114.49202253707524,4792,1
B00172,-10.718006908226446,106.01552788077078,2445,3
B00173,-2.294418008912224,100.30741604177959,2712,1
B00174,-7.149571821635055,104.57376381446174,2467,5
B00175,-0.032062563039351843,121.32182118072122,4414,2
B00176,-8.035770706915145,106.27421902520776,797,2
B00177,0.7459415477419213,125.09547370858706,809,3
B00178,-4.425499112890864,112.58048791471214,4809,3
B00179,4.924409808524487,135.79615364919323,4369,4
B00180,-8.662143949518114,120.68999110341656,3207,5
